Total Items,,Le Quang Duy,,,,,,,
Pass Items,,,,,,,,,
Fail Items,,,,,,,,,
NY Items,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Section,Main Title,Description,Testname,Priority,Method,Owner,Status,Milestone,Remark
1,Register test (APB Bus Transaction),,,,,,,,
1.1,Read default value,"1. Wait for reset and clock stable
2. Read value of 4 register with appropriate address
Pass condition: Check value matching with default value mentioned in RTL spec",default_read_value_register_test,High,Directed,Duy,Passed,ver 20241017,
1.2,Read and Write value check,"1. Wait for reset and clock stable
2. Write/Read value of 4 registers with appropriate address 
Pass condition: Check value matching with default value mentioned in RTL spec",default_rw_value_register_test,High,Randomization,Duy,Failed,ver 20241017,Read register TDR not match after write
1.3,Write default value,"1. Wait for reset and clock stable
2. Write value of 4 register with appropriate address
Pass condition: Check value matching with default value mentioned in RTL spec",default_write_value_register_test,High,Directed,Duy,NY,ver 20241017,
1.4,Reset on the fly check,"1. Wait for all APB bus transaction and counter complete with interrupt triggered.
2. Enable active-LOW PRESETn signal to reset on transfer
Pass condition: Check if all APB signals and APB data in all 4 registers are reseted to 0.",reset_register_test,Low,Directed,Duy,NY,ver 20241017,Read register TDR not match after write and 
1.5,"APB sel, enable, write, ready equivalence check","1. Wait for reset and clock stable
2. Drive psel, penable, pwrite with pre-defined sequence
Pass condition: Pready observes correct signal and assertions checking equivalence of signals pass.",APB_equivalence_check,Medium,Directed (Assertion),Duy,NY,ver 20241017,
1.6,APB address and write data stability check,"1. Wait for reset and clock stable
2. Drive paddr and pwdata to APB bus and apply $stable() to data
Pass condition: No bus change during transfer and assertions checking stability of signals pass.",APB_stability_check,Medium,Directed (Assertion),Duy,NY,ver 20241017,
2,Clock divsor test,,,,,,,,
2.1,No divide,"1. Perform normal APB transfer (with clk_div in TCR = 2'b00) and observe clk_in (actually no clk_in when clk_div = 2'b00)
Pass condition: clk_in have 5ns period per cycle (same as ker_clk)",ker_clk_div_0_test,High,Directed,Duy,NY,ver 20241017,
2.2,Divide by 2,"1. Configure 2'b01 to clk_div in TCR register
2. Perform mentioned APB transfer to and observe clk_in (clk_in will be generated as clk_div is configured)
Pass condition: clk_in have 10ns period per cycle",ker_clk_div_2_test,Medium,Directed,Duy,NY,ver 20241017,
2.3,Divide by 4,"1. Configure 2'b01 to clk_div in TCR register
2. Perform mentioned APB transfer to and observe clk_in (clk_in will be generated as clk_div is configured)
Pass condition: clk_in have 20ns period per cycle",ker_clk_div_4_test,Medium,Directed,Duy,NY,ver 20241017,
2.4,Divide by 8,"1. Configure 2'b01 to clk_div in TCR register
2. Perform mentioned APB transfer to and observe clk_in (clk_in will be generated as clk_div is configured)
Pass condition: clk_in have 40ns period per cycle",ker_clk_div_8_test,Medium,Directed,Duy,NY,ver 20241017,
3,Counter test,,,,,,,,
3.1,Count up,"1. Perform APB transfer with timer_en valid and count_down invalid in TCR register (0x00)
Pass condition: Timer start count up from 0 to 255",count_up_test,High,Directed,Duy,NY,ver 20241017,
3.2,Count down,"1. Perform APB transfer with timer_en valid and count_down valid in TCR register (0x00)
Pass condition: Timer start count down from 255 to 0",count_down_test,High,Directed,Duy,NY,ver 20241017,
3.3,Count up with TDR data,"1. Perform APB transfer with timer_en valid and count_down invalid in TCR register (0x00)
2. Also enable load to 1'b1 in TCR register to receive TDR data
3. Load should be enable in the previous APB transfer, after that timer_en and count_down will be configure later
Pass condition: Timer count up from TDR data to 255",count_up_with_data_test,Medium,Randomization,Duy,NY,ver 20241017,
3.4,Count down with TDR data,"1. Perform APB transfer with timer_en valid and count_down valid in TCR register (0x00)
2. Also enable load to 1'b1 in TCR register to receive TDR data
3. Load should be enable in the previous APB transfer, after that timer_en and count_down will be configure later
Pass condition: Timer count down from TDR data to 0",count_down_with_data_test,Medium,Randomization,Duy,NY,ver 20241017,
4,Interrupt test,,,,,,,,
4.1,Normal Interrupt check,"1. Perform APB transfer and witness the output counting signals 
2. Waiting for interrupt signal to trigger when counting reach the final value
Pass condition: Interrupt flag valids when counting finish",interrupt_check,High,Directed,Duy,NY,ver 20241017,
4.2,Overflow check,"1. Enable underflow
1. Perform APB transfer and witness the output counting signals 
2. Waiting for counting exceeds maximum value of input wdata and observe TSR overflow bit
Pass condition: Overflow flag in TSR triggers when counting exceeds  maximum value of data (i.e 255)",overflow_check,Medium,Directed,Duy,NY,ver 20241017,
4.3,Underflow check,"1. Perform APB transfer and witness the output counting signals 
2. Waiting for counting exceeds minimum value of input wdata
Pass condition: Underflow flag triggers when counting exceeds minimum value of data (i.e 0)",underflow_check,Medium,Directed,Duy,NY,ver 20241017,
4.4,Polling check,,polling_check,Low,Directed,Duy,NY,ver 20241017,
4.5,Underflow interrupt check,,underflow_interrupt_check,Low,Directed,Duy,NY,ver 20241017,
4.6,Overflow interrupt check,,overflow_interrupt_check,Low,Directed,Duy,NY,ver 20241017,
5,Data Register Test,,,,,,,,
5.1,8-bit data bus on TDR address,"1. Wait for clk and resetn stable
2. Access TDR register by accessing paddr = 0x02
3. Write/Read 8-bit data to the bus
4. Enable Load = 1 to bit 2 of TCR register ",TDR_data_test,Medium,Randomization,Duy,NY,ver 20241017,
,,,,,,Duy,NY,ver 20241017,
6,Custom Test Case (Combined various testing requirements),,,,,,,,
6.1,"Write default value -> Divide clk by 4 -> Count up -> Check overflow

No. of transfer: 4","1. Write a default value through wdata
2. Divide ker_clk by 4 and observe in clk_in
3. Enable count up and start counting
4. Enable overflow checking",custom_test_1,High,Directed,Duy,NY,ver 20241017,
6.2,"Write random value -> Divide clk by random -> Count down -> Check underflow -> Check underflow interrupt

No. of transfer: 5","1. Write a random value through wdata to TDR register
2. Divide ker_clk by random value and observe in clk_in
3. Enable count down with custom data and start counting
4. Check underflow and enable underflow interrupt check ",custom_test_2,High,Randomization and Directed,Duy,NY,ver 20241017,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
